participantId,experimentId,segment_index,tab,start_ms,end_ms,duration_ms
59dbd41ac0d35a0001294aa0,jCBKV3EamMMO3Czt2vWS,28,reading,1766412983116.0,1766413016908.0,33792.0
59dbd41ac0d35a0001294aa0,jCBKV3EamMMO3Czt2vWS,29,chat,1766413016908.0,1766413016949.0,41.0
59dbd41ac0d35a0001294aa0,jCBKV3EamMMO3Czt2vWS,30,reading,1766413016949.0,1766413067642.0,50693.0
59dbd41ac0d35a0001294aa0,jCBKV3EamMMO3Czt2vWS,31,chat,1766413067642.0,1766413124541.0,56899.0
5a068d5b074b190001251791,Wv5EruGYDP0p9jtKO33l,0,reading,1766170859519.0,1766171332715.0,473196.0
5a068d5b074b190001251791,Wv5EruGYDP0p9jtKO33l,1,chat,1766171332715.0,1766171332864.0,149.0
5a068d5b074b190001251791,Wv5EruGYDP0p9jtKO33l,2,reading,1766171332864.0,1766171333032.0,168.0
5a068d5b074b190001251791,Wv5EruGYDP0p9jtKO33l,3,chat,1766171333032.0,1766171452600.0,119568.0
5a068d5b074b190001251791,Wv5EruGYDP0p9jtKO33l,4,reading,1766171452600.0,1766171484389.0,31789.0
5a068d5b074b190001251791,Wv5EruGYDP0p9jtKO33l,5,chat,1766171484389.0,1766171487781.0,3392.0
5a068d5b074b190001251791,Wv5EruGYDP0p9jtKO33l,6,video,1766171487781.0,1766171621716.0,133935.0
5a068d5b074b190001251791,Wv5EruGYDP0p9jtKO33l,7,infographics,1766171621716.0,1766171668476.0,46760.0
5a068d5b074b190001251791,Wv5EruGYDP0p9jtKO33l,8,chat,1766171668476.0,1766171726827.0,58351.0
5a068d5b074b190001251791,Wv5EruGYDP0p9jtKO33l,9,reading,1766171726827.0,1766171728328.0,1501.0
5a068d5b074b190001251791,Wv5EruGYDP0p9jtKO33l,10,chat,1766171728328.0,1766171776529.0,48201.0
5a068d5b074b190001251791,Wv5EruGYDP0p9jtKO33l,11,reading,1766171776529.0,1766171776662.0,133.0
5a068d5b074b190001251791,Wv5EruGYDP0p9jtKO33l,12,chat,1766171776662.0,1766171776811.0,149.0
5a068d5b074b190001251791,Wv5EruGYDP0p9jtKO33l,13,reading,1766171776811.0,1766171776979.0,168.0
5a068d5b074b190001251791,Wv5EruGYDP0p9jtKO33l,14,chat,1766171776979.0,1766171777612.0,633.0
5a068d5b074b190001251791,Wv5EruGYDP0p9jtKO33l,15,reading,1766171777612.0,1766171779113.0,1501.0
5a068d5b074b190001251791,Wv5EruGYDP0p9jtKO33l,16,chat,1766171779113.0,1766171872363.0,93250.0
5a068d5b074b190001251791,Wv5EruGYDP0p9jtKO33l,17,infographics,1766171872363.0,1766171872851.0,488.0
5a068d5b074b190001251791,Wv5EruGYDP0p9jtKO33l,18,audio,1766171872851.0,1766171873387.0,536.0
5a068d5b074b190001251791,Wv5EruGYDP0p9jtKO33l,19,video,1766171873387.0,1766171873663.0,276.0
5a068d5b074b190001251791,Wv5EruGYDP0p9jtKO33l,20,reading,1766171873663.0,1766171876281.0,2618.0
5a068d5b074b190001251791,Wv5EruGYDP0p9jtKO33l,21,video,1766171876281.0,1766171876843.0,562.0
5a068d5b074b190001251791,Wv5EruGYDP0p9jtKO33l,22,infographics,1766171876843.0,1766172130060.0,253217.0
5a068d5b074b190001251791,Wv5EruGYDP0p9jtKO33l,23,reading,1766172130060.0,1766172132580.0,2520.0
5a068d5b074b190001251791,Wv5EruGYDP0p9jtKO33l,24,infographics,1766172132580.0,1766172179450.0,46870.0
5a7f22ec0f1bce000121ef95,GGrIPEYz74MBx1bbEWXt,0,reading,1766395377882.0,1766396657750.0,1279868.0
5ade558c066c510001d43615,1odnJgCRuwmc886z6Jva,0,reading,1766389881453.0,1766389882056.0,603.0
5ade558c066c510001d43615,1odnJgCRuwmc886z6Jva,1,chat,1766389882056.0,1766389882202.0,146.0
5ade558c066c510001d43615,1odnJgCRuwmc886z6Jva,2,reading,1766389882202.0,1766390038402.0,156200.0
5ade558c066c510001d43615,1odnJgCRuwmc886z6Jva,3,chat,1766390038402.0,1766390039835.0,1433.0
5ade558c066c510001d43615,1odnJgCRuwmc886z6Jva,4,reading,1766390039835.0,1766390265835.0,226000.0
5ade558c066c510001d43615,1odnJgCRuwmc886z6Jva,5,chat,1766390265835.0,1766390277153.0,11318.0
5ade558c066c510001d43615,1odnJgCRuwmc886z6Jva,6,reading,1766390277153.0,1766390384568.0,107415.0
5ade558c066c510001d43615,1odnJgCRuwmc886z6Jva,7,chat,1766390384568.0,1766390387785.0,3217.0
5ade558c066c510001d43615,1odnJgCRuwmc886z6Jva,8,reading,1766390387785.0,1766390387885.0,100.0
5ade558c066c510001d43615,1odnJgCRuwmc886z6Jva,9,chat,1766390387885.0,1766390388635.0,750.0
5ade558c066c510001d43615,1odnJgCRuwmc886z6Jva,10,reading,1766390388635.0,1766390411253.0,22618.0
5ade558c066c510001d43615,1odnJgCRuwmc886z6Jva,11,chat,1766390411253.0,1766390572368.0,161115.0
5ade558c066c510001d43615,1odnJgCRuwmc886z6Jva,12,reading,1766390572368.0,1766390746399.0,174031.0
5ade558c066c510001d43615,1odnJgCRuwmc886z6Jva,13,chat,1766390746399.0,1766390747385.0,986.0
5ade558c066c510001d43615,1odnJgCRuwmc886z6Jva,14,reading,1766390747385.0,1766390942453.0,195068.0
5ade558c066c510001d43615,1odnJgCRuwmc886z6Jva,15,chat,1766390942453.0,1766390942818.0,365.0
5ade558c066c510001d43615,1odnJgCRuwmc886z6Jva,16,reading,1766390942818.0,1766390973684.0,30866.0
5ade558c066c510001d43615,1odnJgCRuwmc886z6Jva,17,chat,1766390973684.0,1766390973985.0,301.0
5ade558c066c510001d43615,1odnJgCRuwmc886z6Jva,18,reading,1766390973985.0,1766391123936.0,149951.0
5ade558c066c510001d43615,1odnJgCRuwmc886z6Jva,19,chat,1766391123936.0,1766391124186.0,250.0
5ade558c066c510001d43615,1odnJgCRuwmc886z6Jva,20,reading,1766391124186.0,1766391190135.0,65949.0
5ade558c066c510001d43615,1odnJgCRuwmc886z6Jva,21,chat,1766391190135.0,1766391190401.0,266.0
5ade558c066c510001d43615,1odnJgCRuwmc886z6Jva,22,reading,1766391190401.0,1766391205478.0,15077.0
5aeb5c9f0f8859000190a19b,wQFIEdjp0lIUQ2f8DRcH,0,reading,1766405055000.0,1766406327310.0,1272310.0
5b490bd59afec90001009679,csTlf2981LtcpzE2heGv,0,reading,1766473887493.0,1766473888326.0,833.0
5b490bd59afec90001009679,csTlf2981LtcpzE2heGv,1,chat,1766473888326.0,1766473888812.0,486.0
5b490bd59afec90001009679,csTlf2981LtcpzE2heGv,2,reading,1766473888812.0,1766473889187.0,375.0
5b490bd59afec90001009679,csTlf2981LtcpzE2heGv,3,chat,1766473889187.0,1766473889519.0,332.0
5b490bd59afec90001009679,csTlf2981LtcpzE2heGv,4,reading,1766473889519.0,1766474107119.0,217600.0
5b490bd59afec90001009679,csTlf2981LtcpzE2heGv,5,chat,1766474107119.0,1766474117389.0,10270.0
5b490bd59afec90001009679,csTlf2981LtcpzE2heGv,6,reading,1766474117389.0,1766474122267.0,4878.0
5b490bd59afec90001009679,csTlf2981LtcpzE2heGv,7,chat,1766474122267.0,1766474131533.0,9266.0
5b490bd59afec90001009679,csTlf2981LtcpzE2heGv,8,reading,1766474131533.0,1766474160609.0,29076.0
5b490bd59afec90001009679,csTlf2981LtcpzE2heGv,9,chat,1766474160609.0,1766474188543.0,27934.0
5b490bd59afec90001009679,csTlf2981LtcpzE2heGv,10,reading,1766474188543.0,1766474279621.0,91078.0
5b490bd59afec90001009679,csTlf2981LtcpzE2heGv,11,chat,1766474279621.0,1766474313759.0,34138.0
5b490bd59afec90001009679,csTlf2981LtcpzE2heGv,12,reading,1766474313759.0,1766474347327.0,33568.0
5b490bd59afec90001009679,csTlf2981LtcpzE2heGv,13,chat,1766474347327.0,1766474347542.0,215.0
5b490bd59afec90001009679,csTlf2981LtcpzE2heGv,14,reading,1766474347542.0,1766474378356.0,30814.0
5b490bd59afec90001009679,csTlf2981LtcpzE2heGv,15,chat,1766474378356.0,1766474508394.0,130038.0
5b490bd59afec90001009679,csTlf2981LtcpzE2heGv,16,reading,1766474508394.0,1766474512318.0,3924.0
5b490bd59afec90001009679,csTlf2981LtcpzE2heGv,17,chat,1766474512318.0,1766475332288.0,819970.0
5ba937d53c7a050001992e80,irynvOnl02CL1jqbROjF,0,reading,1766398198889.0,1766398203704.0,4815.0
5ba937d53c7a050001992e80,irynvOnl02CL1jqbROjF,1,chat,1766398203704.0,1766398203986.0,282.0
5ba937d53c7a050001992e80,irynvOnl02CL1jqbROjF,2,reading,1766398203986.0,1766398929519.0,725533.0
5ba937d53c7a050001992e80,irynvOnl02CL1jqbROjF,3,chat,1766398929519.0,1766398929552.0,33.0
5ba937d53c7a050001992e80,irynvOnl02CL1jqbROjF,4,reading,1766398929552.0,1766399055051.0,125499.0
5ba937d53c7a050001992e80,irynvOnl02CL1jqbROjF,5,chat,1766399055051.0,1766399056635.0,1584.0
5ba937d53c7a050001992e80,irynvOnl02CL1jqbROjF,6,reading,1766399056635.0,1766399203735.0,147100.0
5ba937d53c7a050001992e80,irynvOnl02CL1jqbROjF,7,chat,1766399203735.0,1766399206436.0,2701.0
5ba937d53c7a050001992e80,irynvOnl02CL1jqbROjF,8,reading,1766399206436.0,1766399483500.0,277064.0
5ba937d53c7a050001992e80,irynvOnl02CL1jqbROjF,9,chat,1766399483500.0,1766399483717.0,217.0
