participantId,experimentId,reading_id,totalEvents,duration,focusTime_reading,focusTime_chat,focusTime_video,focusTime_audio,focusTime_infographics,reading_count,reading_totalDuration,scanning_count,scanning_totalDuration,scrolling_count,scrolling_totalDuration
65f684e029d7c63f3338aed7,7gZ9bx5MiLPRidM0rULt,7gZ9bx5MiLPRidM0rULt_reading,252,1517698,1322864,194782,0,0,0,28,1024690,15,51641,180,74364
660477cf6f52f75e86f4f349,klwqVPzHrDRCRyC91yjv,klwqVPzHrDRCRyC91yjv_reading,173,1621273,1200731,379000,0,0,41500.0,38,1028164,16,58143,69,45893
6604b10d7328536e5d9bb9db,UDYH0mJOXZJQVwFrkPiY,UDYH0mJOXZJQVwFrkPiY_reading,81,1442591,1419464,23125,0,0,0,39,1090386,14,44887,41,23588
660c022ef20bb20404c76d8f,VRcVN1SABxvfK1dV19bY,VRcVN1SABxvfK1dV19bY_reading,217,1527825,1527825,0,0,0,0,32,1154824,35,119091,171,94381
660d7d551f8fb51d01193e78,gbivCtr1F8vLRLJLOjF5,gbivCtr1F8vLRLJLOjF5_reading,84,1320958,1320958,0,0,0,0,27,1132716,8,24337,41,11487
660eb2ab66db1c0d3fa51a2b,mW4GjvZZDTi9KgI1g3sN,mW4GjvZZDTi9KgI1g3sN_reading,43,1266416,1082137,184278,0,0,0,12,1012991,10,29630,31,16660
661149a91b7fad3a3d2caf0c,ppZ8MEFyTyLLnX2q049M,ppZ8MEFyTyLLnX2q049M_reading,17,1419860,26581,566704,826571.0,0,0,2,13832,1,2182,6,4075
661dd11d5523e507da514925,9pEKKp4XnWSy6h68Opp9,9pEKKp4XnWSy6h68Opp9_reading,20,1254802,1254802,0,0,0,0,10,1001198,1,4731,13,2848
662266d75f37a6781e7d67d7,0WHsISEsaS1STcn6cMpO,0WHsISEsaS1STcn6cMpO_reading,241,1514391,388538,851456,134858.0,104776.0,34734.0,23,214398,16,53195,139,51840
6629396278644f7ca5e5d017,QAuxkR8S6cpBgH0vKBiq,QAuxkR8S6cpBgH0vKBiq_reading,166,1481172,487447,716048,143755.0,110334.0,23538.0,23,201675,23,77364,67,30482
66293ded22cbde752a3bbee4,3Dn9UAQAJp3WLwhyXna9,3Dn9UAQAJp3WLwhyXna9_reading,83,1593771,1593771,0,0,0,0,38,1228595,7,17237,53,20187
66293e1a129d3f87aa344b26,IdPbTYJkkwp2ctPuN4DM,IdPbTYJkkwp2ctPuN4DM_reading,103,1304150,1197938,106205,0,0,0,26,1050794,10,38092,46,28780
66364f7e853a9e70d8509fc7,vjsKEvqsKL5Du1htlqfU,vjsKEvqsKL5Du1htlqfU_reading,41,1340066,543089,796968,0,0,0,7,514776,2,4506,19,9983
66366f1058966314508ed6e4,4lX44NeUgad1zRQ8y5yi,4lX44NeUgad1zRQ8y5yi_reading,112,1302041,1209476,92559,0,0,0,14,1088168,10,33129,79,43571
6647187677519b0df9ecb716,1TORDYQm6hZWun8Lk0ND,1TORDYQm6hZWun8Lk0ND_reading,147,1361522,959831,401667,0,0,0,51,878818,15,44223,39,21896
66520da15457a5e65d2ec66f,S4r1I1A3vLlJwjkOWCvD,S4r1I1A3vLlJwjkOWCvD_reading,60,1288645,1145576,143066,0,0,0,32,1089799,3,11185,20,13320
66572ce80b83b5ae5cb07a0c,qPF4xDAEY7fmNQ3C5iZg,qPF4xDAEY7fmNQ3C5iZg_reading,82,1302722,1302722,0,0,0,0,24,1110882,3,8632,29,10502
6658bd6af1e9209af5f89f53,v5GOJ3AZ7Slc18gYf33P,v5GOJ3AZ7Slc18gYf33P_reading,128,1375976,1375976,0,0,0,0,34,1152647,17,50062,86,40106
6658c063dd60f6a0b5dcb002,yZJYQSlPtoPhNnMCjQcF,yZJYQSlPtoPhNnMCjQcF_reading,41,1328675,1328675,0,0,0,0,5,290658,5,14337,31,11253
6658d234fa019e8f175c83f7,pZ71aohm70hZODjBcHgo,pZ71aohm70hZODjBcHgo_reading,145,4355592,4355592,0,0,0,0,15,2706409,23,72818,116,50669
6659e11957f1717b65111769,4Hfx8HW3BiE2QZbjyyKv,4Hfx8HW3BiE2QZbjyyKv_reading,85,1358519,1358318,198,0,0,0,45,1232474,9,31396,51,15290
6659ed0c83328ed788a7cf65,WikHwbscLBQ2dJOUG4Wi,WikHwbscLBQ2dJOUG4Wi_reading,105,2025966,2025966,0,0,0,0,34,1464558,15,44980,58,24125
6659fdc13bceed5a87541da4,pVNJTas3xfkn7L62H2iq,pVNJTas3xfkn7L62H2iq_reading,168,1378660,1318389,60258,0,0,0,49,1129191,18,64161,66,34538
665a16dd2db5a0dff976ea9b,MgJz3SjVQFLrZ9qBy3MG,MgJz3SjVQFLrZ9qBy3MG_reading,81,1305261,1305261,0,0,0,0,41,1213784,5,15811,41,17985
665b5ab06f53305291fbf9cc,8SmOjN3701TXxLnO9FUc,8SmOjN3701TXxLnO9FUc_reading,125,1344774,1047328,133134,133744.0,7697.0,22871.0,35,885764,12,39601,64,26440
665ba5fad0a8c603ab8b5242,TyRovBV8w9M5oVUVrKWL,TyRovBV8w9M5oVUVrKWL_reading,147,1619978,1575691,44281,0,0,0,23,565736,25,92233,101,45196
6660df77324bd52e8dbce2ef,WnVKMwyqdQqyDa42qoAw,WnVKMwyqdQqyDa42qoAw_reading,62,1325339,1325339,0,0,0,0,24,876928,13,37436,30,21371
666182516b3e1f1fdb4f345a,6P3lcDBmG3halaneg2Mo,6P3lcDBmG3halaneg2Mo_reading,119,3957808,314521,3643271,0,0,0,16,208788,11,37392,44,26978
6665aacb7549bd73950c9e6b,ibzp1IeVJPfTEJTQAMum,ibzp1IeVJPfTEJTQAMum_reading,112,1349464,1349463,0,0,0,0,25,1166743,10,34552,80,44215
6665e9f9b49082f6458c687d,EX0hNZZwtxvRI6vmyYaH,EX0hNZZwtxvRI6vmyYaH_reading,64,1279486,991094,288365,0,0,0,7,919498,5,13642,41,15192
666640831e2f8d963f8c528f,iX0kSvMdQQdKsLG8XMFj,iX0kSvMdQQdKsLG8XMFj_reading,171,1441204,461871,979316,0,0,0,13,300230,14,43229,94,48517
66708fa4dfe022dbed4cae9c,XSJjhwYDnQIcank5ykoA,XSJjhwYDnQIcank5ykoA_reading,20,2380087,603355,1776730,0,0,0,3,583462,1,2149,17,7183
6671f8979384370db5e1c713,7QgKJYwJNwkwGKenqdUi,7QgKJYwJNwkwGKenqdUi_reading,103,1310774,1188631,122125,0,0,0,41,1080089,12,38679,39,19267
6673705315e1f2006697c6da,mGuOzVm8KqbWThOViKym,mGuOzVm8KqbWThOViKym_reading,95,1391843,998821,393015,0,0,0,25,910888,11,37963,36,19678
6674ae115abf5a938c5e7c3d,7peMOx45sFN8nfSADBwH,7peMOx45sFN8nfSADBwH_reading,20,2535645,1845968,689665,0,0,0,4,449007,3,11345,13,5213
66759b71393cdf8c9276b688,42uFyVa55o8gdhu7cpe7,42uFyVa55o8gdhu7cpe7_reading,,1327168,1327167,0,0,0,0,1,74794,1,3221,3,1244
667634625cc34d5ac97492bf,o3K0xzzMR94EaSgBur6x,o3K0xzzMR94EaSgBur6x_reading,177,1408255,1286088,11256,5660.0,84964.0,20260.0,10,758673,9,29960,148,62203
667e3c908dfe54c0973bbe34,ac0hznSEOVZG1Ed4ACuG,ac0hznSEOVZG1Ed4ACuG_reading,86,1291848,1083759,208075,0,0,0,10,501931,7,24315,60,33370
66817f4754e17e6ec71a44b0,sjoBEOAqGin9LsOSFdmi,sjoBEOAqGin9LsOSFdmi_reading,20,1277352,1277352,0,0,0,0,14,1144448,2,6450,18,6870
6682c269b9b9b8b8bcdffa07,qbqCPpdPlUXruxS3d5w4,qbqCPpdPlUXruxS3d5w4_reading,116,1468207,994775,473406,0,0,0,26,407226,11,37745,60,27605
