Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
694886e277e6fa5bddbd791a,6726175b381af01a5aaef18a,AWAITING REVIEW,Not Applicable,2025-12-21T23:46:46.605000Z,2025-12-22T00:15:47.730000Z,,2025-12-22T00:15:48.093465Z,1742.0,CNST1ELE,572,37,Female,White,United States,United States,United States,English,Yes,Full-Time
6948899e91e1f26a4fe6c2c5,6944bbd7ad3276bb1858ede4,AWAITING REVIEW,Not Applicable,2025-12-21T23:58:30.212000Z,2025-12-22T00:28:02.348000Z,,2025-12-22T00:28:02.735648Z,1773.0,CNST1ELE,8,26,Female,Mixed,United States,United States,United States,English,No,Full-Time
694597157e712c660dab5bb8,6717f0ac88d9f27d9b79af31,RETURNED,Not Applicable,2025-12-19T18:19:07.468000Z,,,,,,1230,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69459b8ce4a7de7fab7385fd,675b6bf5887bccb7fad6c44d,RETURNED,Not Applicable,2025-12-19T18:38:09.955000Z,,,,,,1476,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69459f17996ac12ab49e3c25,6631a2b701c17d0145e75936,RETURNED,Not Applicable,2025-12-19T18:53:16.336000Z,,,,,,1279,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6945a2f4d292fd624a45ab39,67a67d69cadaa10c63c83485,RETURNED,Not Applicable,2025-12-19T19:09:57.906000Z,,,,,,1080,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6945a4936f4ed8a28cc7e7db,669f0372343e26023ee5c023,RETURNED,Not Applicable,2025-12-19T19:18:38.726000Z,,,,,,1689,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6945a559cc9237b80d2f2953,665e0d4039fbf0b54bab1900,RETURNED,Not Applicable,2025-12-19T19:20:06.332000Z,,,,,,1630,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6945a7cc2830f653b08a1471,67f32ac5f6a4ce3d9f9c697d,RETURNED,Not Applicable,2025-12-19T19:30:27.286000Z,,,,,,1772,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6945a7fce6998e275dcdbb28,5c1aef734fe6f40001968e3c,RETURNED,Not Applicable,2025-12-19T19:31:12.052000Z,,,,,,1447,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
